"","x"
"104","She found out that she ruined a man's life for something he didn't do and she still says he's a sexual predator even though she got the wrong guy, disgusting! I hope she likes defamation laws in japan #IStandWithVic #HimToo https://t.co/vLTyiUSJdD"
"105","Again make👏sure👏you👏have👏a👏clean👏history. #IStandWithVic #IStandWithTodd #HimToo https://t.co/ugBfqqgfLr"
"106","Again make👏sure👏you👏have👏a👏clean👏history. #IStandWithVic #IStandWithTodd #HimToo https://t.co/ugBfqqgfLr"
"107","What this guy is doing is targeted harassment so please block him and report him, thank you. #IStandWithVic #HimToo #FixTwitter"
"108","I guess in #kickvic's logic monica,jamie and sabat are sexual predators too. Idiots #IStandWithVic #KickVicMorons #HimToo https://t.co/4PtqFArsmg https://t.co/yQbRObC1U2"
"109","We love you @rkelly. 👑🙏. #NowPlaying Half On A Baby by #RKelly. #RKellyIsInnocent #KingOfRNB #SurvivingLies #HimToo #FreeRKelly #NP #UnMuteRKelly  #PlayRKelly #JusticeForRKelly #TeamKellz. https://t.co/6nMjxUGXuG"
"110","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"111","@RealSaavedra @steph93065 #himtoo"
"112","I guess in #kickvic's logic monica,jamie and sabat are sexual predators too. Idiots #IStandWithVic #KickVicMorons #HimToo https://t.co/4PtqFArsmg https://t.co/yQbRObC1U2"
"113","Again make👏sure👏you👏have👏a👏clean👏history. #IStandWithVic #IStandWithTodd #HimToo https://t.co/ugBfqqgfLr"
"114","She found out that she ruined a man's life for something he didn't do and she still says he's a sexual predator even though she got the wrong guy, disgusting! I hope she likes defamation laws in japan #IStandWithVic #HimToo https://t.co/vLTyiUSJdD"
"115","Me and everyone after finding out that this whole vic drama bullshit started because some idiot didn't even check their sources when accusing a man of something he didn't do. #IStandWithVic #HimToo
https://t.co/xMLabSQqjS"
"116","Me and everyone after finding out that this whole vic drama bullshit started because some idiot didn't even check their sources when accusing a man of something he didn't do. #IStandWithVic #HimToo
https://t.co/xMLabSQqjS"
"117","The same can apply to Casey Erick who told a female attorney to and i quote ""behave herself"" i know it's hard for you but maybe think before you speak. #KickVicMoron #IStandWithVic #HimToo https://t.co/RtWAZXVKQC"
"118","What this guy is doing is targeted harassment so please block him and report him, thank you. #IStandWithVic #HimToo #FixTwitter"
"119","I feel bad Dominique's kids, i hope to god that they don't grow up to be like her, the same goes with shane's kid #IStandWithVic #HimToo https://t.co/hpnxNlxjk6"
"120","She found out that she ruined a man's life for something he didn't do and she still says he's a sexual predator even though she got the wrong guy, disgusting! I hope she likes defamation laws in japan #IStandWithVic #HimToo https://t.co/vLTyiUSJdD"
"121","I guess in #kickvic's logic monica,jamie and sabat are sexual predators too. Idiots #IStandWithVic #KickVicMorons #HimToo https://t.co/4PtqFArsmg https://t.co/yQbRObC1U2"
"122","Again make👏sure👏you👏have👏a👏clean👏history. #IStandWithVic #IStandWithTodd #HimToo https://t.co/ugBfqqgfLr"
"123","@Former_legend @fcttb_podcast @NDFElectrical01 #grabamirror Olga Zajac.

I’m all for an “eye for an eye” but just because you bought him new jeans 👖 doesn’t make using the man who tries to rob you as a sex slave ok

I dare say his life of crime is over

But secretly I am fist pumping you. But not in that special way
#himtoo https://t.co/vgo6fIMxBo"
"124","I guess in #kickvic's logic monica,jamie and sabat are sexual predators too. Idiots #IStandWithVic #KickVicMorons #HimToo https://t.co/4PtqFArsmg https://t.co/yQbRObC1U2"
"125","@Eminem11684 #domesticviolence #abusiverelationship #abusedwomen #abusedmen #himtoo @terrycrews #civilrights #havardlawschool #blacklawyers #naacp #pdxhomeless #pdxmeth #pdxstripper #501c3 #nonprofitorganization #fundraising @tyronewilliamson20 @seanportland @we_rise_2 @werise2pdxinc https://t.co/nm3wVyuNLP"
"126","I guess in #kickvic's logic monica,jamie and sabat are sexual predators too. Idiots #IStandWithVic #KickVicMorons #HimToo https://t.co/4PtqFArsmg https://t.co/yQbRObC1U2"
"127","@WeStandWithKaty @katyperry I know too ‘honey’. Believe me!!  She’s a predator. #BelieveHim #HimToo"
"128","@Jude97154605 #HimToo"
"129","#HimToo Male Model Accuses Katy Perry Of Sexual Assault   https://t.co/1z2TYcpazh"
"130","I guess in #kickvic's logic monica,jamie and sabat are sexual predators too. Idiots #IStandWithVic #KickVicMorons #HimToo https://t.co/4PtqFArsmg https://t.co/yQbRObC1U2"
"131","#HimToo Male Model Accuses Katy Perry Of Sexual Assault   https://t.co/1z2TYcpazh"
"132","#HimToo Male Model Accuses Katy Perry Of Sexual Assault   https://t.co/1z2TYcpazh"
"133","I guess in #kickvic's logic monica,jamie and sabat are sexual predators too. Idiots #IStandWithVic #KickVicMorons #HimToo https://t.co/4PtqFArsmg https://t.co/yQbRObC1U2"
"134","@1776Stonewall Unironically, he has called for others to resign or be removed from just an accusation

#believeallvictims

#himtoo"
"135","I guess in #kickvic's logic monica,jamie and sabat are sexual predators too. Idiots #IStandWithVic #KickVicMorons #HimToo https://t.co/4PtqFArsmg https://t.co/yQbRObC1U2"
"136","@mpukita #HimToo"
"137","@cautioncontent #HimToo"
"138","#HimToo Male Model Accuses Katy Perry Of Sexual Assault   https://t.co/1z2TYcpazh"
"139","#HimToo Male Model Accuses Katy Perry Of Sexual Assault   https://t.co/1z2TYcpazh"
"140","I guess in #kickvic's logic monica,jamie and sabat are sexual predators too. Idiots #IStandWithVic #KickVicMorons #HimToo https://t.co/4PtqFArsmg https://t.co/yQbRObC1U2"
"141","sad ima haštag #HimToo za zlostavljane muškarce. To samo smišljaju gluposti da bi ložane tvitale o tome...oh wait..."
"142","#HimToo Male Model Accuses Katy Perry Of Sexual Assault   https://t.co/1z2TYcpazh"
"143","#HimToo Male Model Accuses Katy Perry Of Sexual Assault   https://t.co/1z2TYcpazh"
"144","@ThePerezHilton @PerezHilton It's crazy #himtoo"
"145","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"146","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"147","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"148","#HimToo  https://t.co/7lfmiNZE1L"
"149","#DonLemon #CNN #doublestandard #himtoo https://t.co/5kM0l3K2Pp"
"150","contemporaneous witness? #HimToo https://t.co/aoYidSkrao"
"151","Is there a news embargo on bad news about #FakeNewsCNN anchors? #MediaBias #HimToo https://t.co/7oFZpOkGYH"
